0000000000020766|006600003123|CSG2340|0000008000
0000010000026432|073600031552|SCY5426|0000008000
0000020000018439|023600016260|LJH4181|0000003000
0000030000020383|046900013590|CSJ9318|0000000000
0000040000010892|058600000761|HHJ4251|0000008000
0000050000009371|022000021196|HJH1525|0000000000
0000060000025625|016300028024|LHM1380|0000009000
0000070000025922|016400010542|PCY12|0000008000
0000080000018940|028200014070|SJC6780|0000005000
0000090000020934|003500021756|CKM7038|0000009000
0000100000003563|076400002109|HSJ3657|0000004000
0000110000009723|014300026263|CJY2311|0000006000
0000120000016507|073100032659|SKJ7731|0000001000
0000130000025564|086900028441|CCM492|0000006000
0000140000025514|019800018731|PCY4811|0000002000
0000150000011782|080500000697|LSM2943|0000006000
0000160000003414|035900017614|CKM904|0000008000
0000170000012859|066800017387|CJM6678|0000007000
0000180000006596|014000022384|CJi418|0000003000
0000190000009185|047300017289|LWY3053|0000001000
0000200000028186|083800015871|PSY2673|0000005000
0000210000018048|049600017203|HHG3367|0000003000
0000220000019172|040500018793|KJM9605|0000008000
0000230000002120|078700026229|LHY4575|0000007000
0000240000011923|034500004757|KHJ4396|0000008000
0000250000011401|040400022275|LSG4425|0000003000
0000260000018425|081900024268|HWi7509|0000000000
0000270000001592|073100032659|CJi2663|0000000000
0000280000030927|073000024043|LJH285|0000007000
0000290000017009|044600019884|KJG9554|0000006000
0000300000026672|070200004043|HSY2370|0000008000
0000310000017136|057200005772|HCY1379|0000002000
0000320000009499|037700007828|SJM552|0000003000
0000330000002198|032100029457|CDC8479|0000007000
0000340000022772|064900002234|KJJ1121|0000008000
0000350000011754|080600024048|KCS5797|0000005000
0000360000002563|046300009241|CWM905|0000009000
0000370000029077|076600013723|PCY5471|0000000000
0000380000028148|093900019307|SHY8148|0000003000
0000390000020709|017000018470|PDH1137|0000007000
0000400000019542|035800020626|LSG9193|0000005000
0000410000012876|004600023044|SHG4214|0000007000
0000420000028956|071000005563|LSY9240|0000008000
0000430000008158|036100022586|LKG4735|0000002000
0000440000012063|095000025769|CKM6783|0000003000
0000450000004566|012100011725|LJM814|0000001000
0000460000029337|035500019723|LKM1498|0000005000
0000470000018705|043600025322|SSY4664|0000004000
0000480000025516|028000012422|LKC385|0000005000
0000490000014737|097600031554|LSC335|0000008000
0000500000006361|001100018422|LHJ8299|0000008000
0000510000001276|037200015215|LCG4688|0000005000
0000520000022921|033400031480|LKi8322|0000004000
0000530000001307|071700013820|KJC9914|0000005000
0000540000028808|019100019881|CKY1020|0000000000
0000550000026203|046700000410|HCM4668|0000001000
0000560000003717|090400029121|SCG2427|0000003000
0000570000021071|012900009270|HJY5196|0000006000
0000580000015507|018300011976|LHG2178|0000008000
0000590000010796|012800027223|LHG8019|0000000000
0000600000024235|091900028829|PJC6309|0000006000
0000610000020811|007600029959|KJG1871|0000000000
0000620000017960|007800004872|LYJ645|0000008000
0000630000001963|020500009895|SKG9760|0000009000
0000640000021577|061300020855|CHG1546|0000003000
0000650000021613|029600010781|KJY2502|0000009000
0000660000011442|085900011035|LSM7010|0000007000
0000670000000086|092400009728|LJJ3119|0000000000
0000680000030700|070600025077|LSG5608|0000000000
0000690000008272|026100026433|CHG1546|0000000000
0000700000013792|057600002816|CKJ3376|0000003000
0000710000012265|014100007076|KHG9022|0000009000
0000720000008288|071900030958|LJJ526|0000006000
0000730000015315|004500024406|KKi9506|0000002000
0000740000007582|006200010716|PYJ708|0000005000
0000750000007266|044000004249|SSG6444|0000000000
0000760000017075|085400001158|KSH1484|0000008000
